,Komentar
70,"*OTAK BISNIS BUSUK NADIEM DITERAPKAN DALAM RANAH PENDIDIKAN....*‼️🤦‍♂️

*GURU DIPERJUAL BELIKAN LAYAKNYA ""BARANG DAGANGAN""*‼️😱

*Marketplace  merendahkan harkat martabat  guru*‼️🥵😡 https://t.co/rpU2mrdJAq"
71,"Anggota DPR Nilai Marketplace Guru ala Nadiem Tak Selesaikan Masalah
https://t.co/ObhEbjGG1a"
72,"Lanjutan 
'Database Guru' atau 'Living Database Guru', agar tdk sama seperti platform jual beli barang,"" tegas LaNyalla. 

Untuk diketahui, Menteri Nadiem mengklaim gagasan marketplace guru untuk mengatasi tenaga guru honorer yang terjadi selama bertahun-tahun. Marketplace next"
73,"Lanjutan 
gratis, karena memang niatnya harus sebagai solusi kementerian,"" jelas LaNyalla. 

Syarat terakhir, LaNyalla meminta kepada Menteri Nadiem untuk mengganti nama platform tersebut. Bukan marketplace guru, tapi cukup menggunakan istilah platform database guru yang next.."
74,"SIARAN PERS
Ketua DPD RI
Senin, 5 Juni 2023
--------------

Ketua DPD RI Dukung Gagasan Menteri Nadiem, Asal Lakukan Tiga Hal Ini

JAKARTA - Gagasan Mendikbudristek Nadiem Makarim tentang marketplace guru ramai-ramai ditolak oleh anggota Komisi X DPR RI. - next.. https://t.co/GZtH4zxBSq"
75,Begini Tanggapan DPR terhadap Ide Menteri Nadiem Makarim Mengenai Marketplace Guru https://t.co/f8KbE4pAI2
76,Apa itu Marketplace Guru? Program Usulan Mendikbud Nadiem Makarim #TempoTekno https://t.co/4tReQYGpcn
77,"Marketplace Guru ala Nadiem.
Akankah menggusur masalah nepotisme atau justru sebaliknya?"
78,"Ramai-ramai Ditolak Anggota DPR, LaNyalla Malah Dukung Gagasan Nadiem soal Marketplace Guru https://t.co/6mC3JJBE5M"
79,"OTAK BISNIS BUSUK NADIEM DITERAPKAN DALAM RANAH PENDIDIKAN....

GURU DIPERJUAL BELIKAN LAYAKNYA ""BARANG DAGANGAN

Marketplace  merendahkan harkat martabat  guru‼️🥵😡 https://t.co/IFgUXaoImM"
80,Dunia pendidikan saat ini tengah ramai memperbincangkan rencana Program Marketplace Guru yang digagas Menteri Pendidikan Kebudayaan Riset dan Teknologi (Mendikbud Ristek) Nadiem Makarim. https://t.co/RCAesP3dIM
81,"DPD RI Minta Menteri Nadiem Mengganti Nama Platform Marketplace Guru 
https://t.co/DxxZ5Ql0el
OPEN PO"
82,"Syarat ketiga, saya minta kepada Menteri Nadiem untuk mengganti nama platform tersebut. Bukan marketplace guru, tapi cukup menggunakan istilah platform database guru yang bersifat living dan updated."
83,"Gagasan Mendikbudristek Nadiem Makarim tentang marketplace guru ramai-ramai ditolak oleh anggota Komisi X DPR RI. Para anggota DPR menilai gagasan tersebut tidak menyelesaikan akar permasalahan soal tenaga pendidikan di Indonesia.

#LaNyalla #dpdri #ketuadpdri #guru https://t.co/xoIgnyYpxc"
84,LaNyalla Dukung Gagasan Menteri Nadiem soal Marketplace Guru dengan Catatan Ini #marketplaceguru https://t.co/C6QfNxpbtr
85,"LaNyalla Minta Menteri Nadiem Mengganti Nama Platform Marketplace Guru
https://t.co/zu7SXSFdBf
Rusia"
