,user,date,renderedContent
53,zanatul_91,2023-06-08 04:38:08+00:00,"2) (PPPK) untuk guru. Salah satunya, Nadiem menawarkan marketplace guru sebagai solusi untuk formasi guru yang tidak kunjung terpenuhi hingga kini."
54,jawapos,2023-06-08 04:24:00+00:00,"Program Marketplace Guru Inisiasi Nadiem Dikritik, Dinilai Hanya Solusi Jangka Pendek

https://t.co/tn9J2wM8tl"
55,yudiyudot99,2023-06-08 03:41:44+00:00,"Wow busyet 💥
Guru diperjual-belikan di MARKETPLACE  bagai barang dagangan 🐣

 Kritik ""Marketplace Guru"" ala Nadiem Makarim 

https://t.co/WN3CTxldHu"
56,posaktualcom,2023-06-08 02:23:38+00:00,"Kritik ""Marketplace Guru"" ala Nadiem Makarim  https://t.co/JVfv8DsdpX"
57,MurBaud1per2in,2023-06-08 01:47:59+00:00,"@IAmGargantua @dokterparu kalo dokter kayanya belom om, kalo guru udah mau tuh (apa udah ya?) sama si nadiem... marketplace guru"
58,OnlyFrens,2023-06-08 00:37:21+00:00,Wakil Ketua Komisi VII DPR @eddy_soeparno mengkritik ide Mendikbudristek Nadiem Makarim soal pembentukan platform Marketplace Guru. https://t.co/6lFeXq9E0m
59,detikcom,2023-06-07 19:10:00+00:00,Wakil Ketua Komisi VII DPR Eddy Soeparno mengkritik ide Mendikbudristek Nadiem Makarim soal pembentukan platform Marketplace Guru. https://t.co/TCM6Fdn3DI
60,detikfinance,2023-06-07 16:34:09+00:00,Menteri PANRB Abdullah Azwar Anas merespons usulan Mendikbud Nadiem Makariem soal marketplace guru. Apa katanya? https://t.co/830JCukq3H
61,AktivisPJO,2023-06-07 13:23:33+00:00,"Nadiem Makarim yang tujuannya mampu mengatasi masalah tenaga guru honorer yang terjadi selama bertahun-tahun. Membuat Marketplace Guru tentu butuh sistem yang canggih dan dapat dijangkau oleh seluruh wilayah di Indonesia, serta pembiayaan yang tidak sedikit."
62,PutunMy,2023-06-07 07:11:26+00:00,"Anggota DPR Nilai Marketplace Guru ala Nadiem Tak Selesaikan Masalah
@myputun https://t.co/E53qYcySpB lewat @muslimtrend.com https://t.co/VFB1N7SecB"
63,gwenchyana,2023-06-07 06:48:16+00:00,"@tubirfess Jdi setuju deh sama Nadiem Makarim guru emang harus dibuat marketplace. Biarkan rating dan bintang yg berbicara, seenggaknya mengurangi spesies b*gs*t berkedok guru seperti ini"
64,BorneoStreet,2023-06-07 03:54:23+00:00,"Dikritik Habis-habisan, Nadiem Akan Ubah Diksi Marketplace Guru Jadi Ruang Talenta Guru https://t.co/8NJq3NaalB"
65,bung_madin,2023-06-06 12:28:27+00:00,"Setelah Nadiem membuat peraturan baru terkait rekrutmen guru menggunakan marketplace, hal ini menuai kontroversi. 

Pak Nadiem seharusnya lbh mementingkan nasib guru honorer yg di gaji hanya 300 rb perbulan.

Begini nih kalau terlahir kaya, gk pernah rasanya jadi guru. https://t.co/IpkdJZkC4n"
66,AtapNews,2023-06-06 09:04:03+00:00,"Anggota DPR Nilai Marketplace Guru ala Nadiem Tak Selesaikan Masalah

Baca Selengkapnya Disini
https://t.co/gKTgF3mMM6

#atapnews #nasional #indonesia #BreakingNews #news #NewsUpdate #beritaterkini #beritaViral #viral #DPR #guru https://t.co/3Bk9g1sD6e"
67,KATADATAcoid,2023-06-06 08:39:04+00:00,"Mengenal Marketplace Guru, Usulan Menteri Nadiem Tuai Kontroversi https://t.co/UhxX8RS93n"
68,abadikinicom,2023-06-06 07:39:02+00:00,Ketua DPD RI Dukung Gagasan Menteri Nadiem tentang Marketplace Guru https://t.co/d8UI60nKRN
69,bukamata18,2023-06-06 04:44:33+00:00,"Aplikasi Marketplace Umpamakan Guru Seperti Barang, Nadiem Dinilai Tak Hormati Tugas Mulia @nadiemmakarim @PDemokrat  https://t.co/DL7fxlFfkM"
70,terkembang_4817,2023-06-06 03:18:23+00:00,"*OTAK BISNIS BUSUK NADIEM DITERAPKAN DALAM RANAH PENDIDIKAN....*‼️🤦‍♂️

*GURU DIPERJUAL BELIKAN LAYAKNYA ""BARANG DAGANGAN""*‼️😱

*Marketplace  merendahkan harkat martabat  guru*‼️🥵😡 https://t.co/rpU2mrdJAq"
71,CNNIndonesia,2023-06-06 00:08:22+00:00,"Anggota DPR Nilai Marketplace Guru ala Nadiem Tak Selesaikan Masalah
https://t.co/ObhEbjGG1a"
72,patualanggaAsse,2023-06-05 15:28:28+00:00,"Lanjutan 
'Database Guru' atau 'Living Database Guru', agar tdk sama seperti platform jual beli barang,"" tegas LaNyalla. 

Untuk diketahui, Menteri Nadiem mengklaim gagasan marketplace guru untuk mengatasi tenaga guru honorer yang terjadi selama bertahun-tahun. Marketplace next"
73,patualanggaAsse,2023-06-05 15:28:25+00:00,"Lanjutan 
gratis, karena memang niatnya harus sebagai solusi kementerian,"" jelas LaNyalla. 

Syarat terakhir, LaNyalla meminta kepada Menteri Nadiem untuk mengganti nama platform tersebut. Bukan marketplace guru, tapi cukup menggunakan istilah platform database guru yang next.."
74,patualanggaAsse,2023-06-05 15:28:17+00:00,"SIARAN PERS
Ketua DPD RI
Senin, 5 Juni 2023
--------------

Ketua DPD RI Dukung Gagasan Menteri Nadiem, Asal Lakukan Tiga Hal Ini

JAKARTA - Gagasan Mendikbudristek Nadiem Makarim tentang marketplace guru ramai-ramai ditolak oleh anggota Komisi X DPR RI. - next.. https://t.co/GZtH4zxBSq"
75,Beritasatu,2023-06-05 15:27:43+00:00,Begini Tanggapan DPR terhadap Ide Menteri Nadiem Makarim Mengenai Marketplace Guru https://t.co/f8KbE4pAI2
76,tempodotco,2023-06-05 15:25:33+00:00,Apa itu Marketplace Guru? Program Usulan Mendikbud Nadiem Makarim #TempoTekno https://t.co/4tReQYGpcn
77,Alreynaldus,2023-06-05 13:57:46+00:00,"Marketplace Guru ala Nadiem.
Akankah menggusur masalah nepotisme atau justru sebaliknya?"
78,VIVAcoid,2023-06-05 13:41:34+00:00,"Ramai-ramai Ditolak Anggota DPR, LaNyalla Malah Dukung Gagasan Nadiem soal Marketplace Guru https://t.co/6mC3JJBE5M"
